park_name,park_code,states,designation,latitude,longitude,num_activities,num_topics,num_entrance_fees,description_length,has_camping,has_fishing,has_wildlife,has_biking,has_boating
Buck Island Reef National Monument,buis,VI,National Monument,17.81026717,-64.6222179,11,13,0,380,False,False,True,False,True
Buffalo National River,buff,AR,National River,36.04116481,-92.90761584,27,10,0,315,True,True,True,False,False
Butterfield Overland National Historic Trail,buov,"MO,AR,OK,TX,NM,AZ,CA",National Historic Trail,32.2768237589,-106.796583304,0,0,0,387,False,False,False,False,False
Cabrillo National Monument,cabr,CA,National Monument,32.6722503,-117.2415985,15,15,8,363,False,False,True,True,False
California National Historic Trail,cali,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",National Historic Trail,42.3999643979,-108.702415369,9,16,0,396,False,False,False,False,False
Camp Nelson National Monument,cane,KY,National Monument,37.7970179913,-84.598168306,5,21,0,380,False,False,False,False,False
Canaveral National Seashore,cana,FL,National Seashore,28.78637529,-80.75419576,21,3,3,361,True,True,True,False,True
Cane River Creole National Historical Park,cari,LA,National Historical Park,31.65408447,-93.00131977,6,8,0,355,False,False,False,False,False
Canyon de Chelly National Monument,cach,AZ,National Monument,36.14319567,-109.3388303,8,3,0,391,True,False,False,False,False
Canyonlands National Park,cany,UT,National Park,38.24555783,-109.8801624,22,18,3,302,True,False,False,True,True
Cape Cod National Seashore,caco,MA,National Seashore,41.92381465,-70.04319832,33,32,3,382,True,True,True,True,False
Cape Hatteras National Seashore,caha,NC,National Seashore,35.41370839,-75.65061112,28,23,0,395,True,True,True,False,False
Cape Henry Memorial Part of Colonial National Historical Park,came,VA,Part of Colonial National Historical Park,36.9278094,-76.0088219,2,0,0,372,False,False,False,False,False
Cape Krusenstern National Monument,cakr,AK,National Monument,67.41499986,-163.5037786,14,9,0,400,True,False,True,False,False
Cape Lookout National Seashore,calo,NC,National Seashore,34.8267961,-76.34319082,23,14,0,390,True,True,True,False,True
Capitol Hill Parks,cahi,DC,,38.889993,-76.990332,10,19,0,377,False,False,False,True,False
Capitol Reef National Park,care,UT,National Park,38.2821653131,-111.247048378,42,60,7,258,True,True,True,True,False
Captain John Smith Chesapeake National Historic Trail,cajo,"VA,MD,DE,DC,PA,NY",National Historic Trail,38.971601,-76.483355,34,39,0,400,True,True,True,False,True
Capulin Volcano National Monument,cavo,NM,National Monument,36.78171096,-103.9710427,13,6,9,377,False,False,True,True,False
Carl Sandburg Home National Historic Site,carl,NC,National Historic Site,35.26815509,-82.45106258,3,8,0,273,False,False,False,False,False
Carlisle Federal Indian Boarding School National Monument,cibs,PA,National Monument,40.2094,-77.17971,0,0,0,347,False,False,False,False,False
Carlsbad Caverns National Park,cave,NM,National Park,32.14089463,-104.5529688,17,13,2,269,True,False,True,False,False
Carter G. Woodson Home National Historic Site,cawo,DC,National Historic Site,38.91089286,-77.02431104,7,7,0,397,False,False,False,False,False
Casa Grande Ruins National Monument,cagr,AZ,National Monument,32.99702582,-111.5325383,12,10,0,380,False,False,False,False,False
Castillo de San Marcos National Monument,casa,FL,National Monument,29.89785701,-81.31217173,4,10,1,264,False,False,False,False,False
Castle Clinton National Monument,cacl,NY,National Monument,40.70347795,-74.01680558,5,10,0,339,False,False,False,False,False
Castle Mountains National Monument,camo,CA,National Monument,35.29156348,-115.0935606,4,14,0,383,True,False,False,False,False
Catoctin Mountain Park,cato,MD,Park,39.65068457,-77.46417665,21,15,0,284,True,True,False,False,False
Cedar Breaks National Monument,cebr,UT,National Monument,37.63545562,-112.845268,19,11,4,297,True,False,True,False,False
Cedar Creek & Belle Grove National Historical Park,cebe,VA,National Historical Park,39.0093576,-78.30618934,8,13,0,383,False,False,False,False,False
Chaco Culture National Historical Park,chcu,NM,National Historical Park,36.03963414,-107.9560076,5,3,9,369,True,False,False,False,False
Chamizal National Memorial,cham,TX,National Memorial,31.76729634,-106.4544011,15,14,0,356,False,False,True,True,False
Channel Islands National Park,chis,CA,National Park,33.98680093,-119.9112735,39,48,0,392,True,True,True,False,True
Charles Pinckney National Historic Site,chpi,SC,National Historic Site,32.84577392,-79.82487582,16,40,0,386,False,False,True,False,False
Charles Young Buffalo Soldiers National Monument,chyo,OH,National Monument,39.70817829,-83.89328575,7,7,0,354,False,False,False,False,False
Chattahoochee River National Recreation Area,chat,GA,National Recreation Area,33.99698333,-84.28953177,18,19,3,349,False,True,True,True,True
